"","geo_b4","geo2020","antall","kommnr","fylke","endret"
"1","03010101","03010101",1,"0301","03",0
"2","03010102","03010102",1,"0301","03",0
"3","03010103","03010103",1,"0301","03",0
"4","03010104","03010104",1,"0301","03",0
"5","03010105","03010105",1,"0301","03",0
"6","03010201","03010201",1,"0301","03",0
"7","03010202","03010202",1,"0301","03",0
"8","03010204","03010204",1,"0301","03",0
"9","03010205","03010205",1,"0301","03",0
"10","03010206","03010206",1,"0301","03",0
"11","03010207","03010207",1,"0301","03",0
"12","03010208","03010208",1,"0301","03",0
"13","03010209","03010209",1,"0301","03",0
"14","03010210","03010210",1,"0301","03",0
"15","03010211","03010211",1,"0301","03",0
"16","03010203","03010212",1,"0301","03",0
"17","03010203","03010213",1,"0301","03",0
"18","03010301","03010301",1,"0301","03",0
"19","03010302","03010302",1,"0301","03",0
"20","03010304","03010304",1,"0301","03",0
"21","03010305","03010305",1,"0301","03",0
"22","03010306","03010306",1,"0301","03",0
"23","03010307","03010307",1,"0301","03",0
"24","03010308","03010308",1,"0301","03",0
"25","03010309","03010309",1,"0301","03",0
"26","03010303","03010310",1,"0301","03",0
"27","03010401","03010401",1,"0301","03",0
"28","03010501","03010501",1,"0301","03",0
"29","03010502","03010502",1,"0301","03",0
"30","03010503","03010503",1,"0301","03",0
"31","03010504","03010504",1,"0301","03",0
"32","03010601","03010601",1,"0301","03",0
"33","03010602","03010602",1,"0301","03",0
"34","03010603","03010603",1,"0301","03",0
"35","03010604","03010604",1,"0301","03",0
"36","03010605","03010605",1,"0301","03",0
"37","03010606","03010606",1,"0301","03",0
"38","03010607","03010607",1,"0301","03",0
"39","03010608","03010608",1,"0301","03",0
"40","03010609","03010609",1,"0301","03",0
"41","03010610","03010610",1,"0301","03",0
"42","03010611","03010611",1,"0301","03",0
"43","03010612","03010612",1,"0301","03",0
"44","03010613","03010613",1,"0301","03",0
"45","03010614","03010614",1,"0301","03",0
"46","03010701","03010701",1,"0301","03",0
"47","03010702","03010702",1,"0301","03",0
"48","03010703","03010703",1,"0301","03",0
"49","03010704","03010704",1,"0301","03",0
"50","03010705","03010705",1,"0301","03",0
"51","03010706","03010706",1,"0301","03",0
"52","03010707","03010707",1,"0301","03",0
"53","03010708","03010708",1,"0301","03",0
"54","03010709","03010709",1,"0301","03",0
"55","03010710","03010710",1,"0301","03",0
"56","03010801","03010801",1,"0301","03",0
"57","03010802","03010802",1,"0301","03",0
"58","03010803","03010803",1,"0301","03",0
"59","03010804","03010804",1,"0301","03",0
"60","03010805","03010805",1,"0301","03",0
"61","03010806","03010806",1,"0301","03",0
"62","03010807","03010807",1,"0301","03",0
"63","03010808","03010808",1,"0301","03",0
"64","03010809","03010809",1,"0301","03",0
"65","03010901","03010901",1,"0301","03",0
"66","03010902","03010902",1,"0301","03",0
"67","03010903","03010903",1,"0301","03",0
"68","03010904","03010904",1,"0301","03",0
"69","03010905","03010905",1,"0301","03",0
"70","03010906","03010906",1,"0301","03",0
"71","03010907","03010907",1,"0301","03",0
"72","03010908","03010908",1,"0301","03",0
"73","03010909","03010909",1,"0301","03",0
"74","03010910","03010910",1,"0301","03",0
"75","03010911","03010911",1,"0301","03",0
"76","03010912","03010912",1,"0301","03",0
"77","03010913","03010913",1,"0301","03",0
"78","03011001","03011001",1,"0301","03",0
"79","03011101","03011101",1,"0301","03",0
"80","03011102","03011102",1,"0301","03",0
"81","03011103","03011103",1,"0301","03",0
"82","03011104","03011104",1,"0301","03",0
"83","03011105","03011105",1,"0301","03",0
"84","03011106","03011106",1,"0301","03",0
"85","03011201","03011201",1,"0301","03",0
"86","03011202","03011202",1,"0301","03",0
"87","03011203","03011203",1,"0301","03",0
"88","03011204","03011204",1,"0301","03",0
"89","03011205","03011205",1,"0301","03",0
"90","03011206","03011206",1,"0301","03",0
"91","03011207","03011207",1,"0301","03",0
"92","03011208","03011208",1,"0301","03",0
"93","03011209","03011209",1,"0301","03",0
"94","03011210","03011210",1,"0301","03",0
"95","03011211","03011211",1,"0301","03",0
"96","03011301","03011301",1,"0301","03",0
"97","03011302","03011302",1,"0301","03",0
"98","03011303","03011303",1,"0301","03",0
"99","03011304","03011304",1,"0301","03",0
"100","03011305","03011305",1,"0301","03",0
"101","03011401","03011401",1,"0301","03",0
"102","03011402","03011402",1,"0301","03",0
"103","03011403","03011403",1,"0301","03",0
"104","03011404","03011404",1,"0301","03",0
"105","03011405","03011405",1,"0301","03",0
"106","03011406","03011406",1,"0301","03",0
"107","03011501","03011501",1,"0301","03",0
"108","03011502","03011502",1,"0301","03",0
"109","03011503","03011503",1,"0301","03",0
"110","03011504","03011504",1,"0301","03",0
"111","03011601","03011601",1,"0301","03",0
"112","03011602","03011602",1,"0301","03",0
"113","03011603","03011603",1,"0301","03",0
"114","03011604","03011604",1,"0301","03",0
"115","03011605","03011605",1,"0301","03",0
"116","03011606","03011606",1,"0301","03",0
"117","03011607","03011607",1,"0301","03",0
"118","03011701","03011701",1,"0301","03",0
"119","03011702","03011702",1,"0301","03",0
"120","03011703","03011703",1,"0301","03",0
"121","03011704","03011704",1,"0301","03",0
"122","03011705","03011705",1,"0301","03",0
"123","03011706","03011706",1,"0301","03",0
"124","03011707","03011707",1,"0301","03",0
"125","03011708","03011708",1,"0301","03",0
"126","03011709","03011709",1,"0301","03",0
"127","03011801","03011801",1,"0301","03",0
"128","03011802","03011803",1,"0301","03",0
"129","03011802","03011804",1,"0301","03",0
"130","03011901","03011901",1,"0301","03",0
"131","03011902","03011902",1,"0301","03",0
"132","03011903","03011903",1,"0301","03",0
"133","03011904","03011904",1,"0301","03",0
"134","03011906","03011906",1,"0301","03",0
"135","03011907","03011907",1,"0301","03",0
"136","03011908","03011908",1,"0301","03",0
"137","03011905","03011909",1,"0301","03",0
"138","03011905","03011910",1,"0301","03",0
"139","03012001","03012001",1,"0301","03",0
"140","03012002","03012002",1,"0301","03",0
"141","03012003","03012003",1,"0301","03",0
"142","03012004","03012004",1,"0301","03",0
"143","03012005","03012005",1,"0301","03",0
"144","03012007","03012007",1,"0301","03",0
"145","03012008","03012008",1,"0301","03",0
"146","03012009","03012009",1,"0301","03",0
"147","03012010","03012010",1,"0301","03",0
"148","03012011","03012011",1,"0301","03",0
"149","03012006","03012012",1,"0301","03",0
"150","03012101","03012101",1,"0301","03",0
"151","03012102","03012102",1,"0301","03",0
"152","03012103","03012103",1,"0301","03",0
"153","03012104","03012104",1,"0301","03",0
"154","03012105","03012105",1,"0301","03",0
"155","03012106","03012106",1,"0301","03",0
"156","03012107","03012107",1,"0301","03",0
"157","03012108","03012108",1,"0301","03",0
"158","03012109","03012109",1,"0301","03",0
"159","03012201","03012201",1,"0301","03",0
"160","03012202","03012202",1,"0301","03",0
"161","03012203","03012203",1,"0301","03",0
"162","03012204","03012204",1,"0301","03",0
"163","03012205","03012205",1,"0301","03",0
"164","03012206","03012206",1,"0301","03",0
"165","03012207","03012207",1,"0301","03",0
"166","03012208","03012208",1,"0301","03",0
"167","03012209","03012209",1,"0301","03",0
"168","03012301","03012301",1,"0301","03",0
"169","03012302","03012302",1,"0301","03",0
"170","03012303","03012303",1,"0301","03",0
"171","03012304","03012304",1,"0301","03",0
"172","03012305","03012305",1,"0301","03",0
"173","03012306","03012306",1,"0301","03",0
"174","03012307","03012307",1,"0301","03",0
"175","03012308","03012308",1,"0301","03",0
"176","03012309","03012309",1,"0301","03",0
"177","03012310","03012310",1,"0301","03",0
"178","03012311","03012311",1,"0301","03",0
"179","03012312","03012312",1,"0301","03",0
"180","03012313","03012313",1,"0301","03",0
"181","03012401","03012401",1,"0301","03",0
"182","03012402","03012402",1,"0301","03",0
"183","03012403","03012403",1,"0301","03",0
"184","03012404","03012404",1,"0301","03",0
"185","03012405","03012405",1,"0301","03",0
"186","03012406","03012406",1,"0301","03",0
"187","03012407","03012407",1,"0301","03",0
"188","03012408","03012408",1,"0301","03",0
"189","03012409","03012409",1,"0301","03",0
"190","03012410","03012410",1,"0301","03",0
"191","03012502","03012502",1,"0301","03",0
"192","03012503","03012503",1,"0301","03",0
"193","03012504","03012504",1,"0301","03",0
"194","03012505","03012505",1,"0301","03",0
"195","03012506","03012506",1,"0301","03",0
"196","03012501","03012507",1,"0301","03",0
"197","03012501","03012508",1,"0301","03",0
"198","03012501","03012509",1,"0301","03",0
"199","03012601","03012601",1,"0301","03",0
"200","03012602","03012602",1,"0301","03",0
"201","03012603","03012603",1,"0301","03",0
"202","03012604","03012604",1,"0301","03",0
"203","03012605","03012605",1,"0301","03",0
"204","03012606","03012606",1,"0301","03",0
"205","03012607","03012607",1,"0301","03",0
"206","03012608","03012608",1,"0301","03",0
